STN_CODE,Sampling_date,State,Location,Type,SO2,NO2
1,6/9/2021,Gujarat,R S,Product Management,52.3,6.2
2,9/8/2021,Gujarat,R S,Sales,20.4,52.2
3,9/26/2020,Gujarat,R S,Business Development,67.0,62.1
4,2/10/2021,Andhra Pradesh,Agraharam,Marketing,30.2,86.1
5,2/28/2021,Gujarat,R S,Engineering,54.1,65.1
6,3/16/2021,Gujarat,R S,Legal,26.3,19.4
7,7/30/2021,Gujarat,R S,Engineering,90.5,43.0
8,8/21/2021,Gujarat,R S,Support,87.7,17.7
9,6/14/2021,Andhra Pradesh,Agraharam,Services,43.4,47.7
10,8/31/2021,Gujarat,R S,Support,49.4,47.2
11,9/19/2021,Gujarat,R S,Legal,8.9,19.5
12,6/9/2021,Gujarat,R S,Training,64.5,74.3
13,5/31/2021,Andhra Pradesh,Agraharam,Business Development,75.5,26.7
14,7/21/2021,Gujarat,R S,Business Development,98.8,52.2
15,6/28/2021,Gujarat,R S,Marketing,1.1,52.3
16,8/20/2021,Gujarat,R S,Accounting,94.6,14.0
17,6/15/2021,Gujarat,R S,Services,38.1,50.5
18,4/26/2021,Andhra Pradesh,Agraharam,Services,65.4,51.2
19,6/7/2021,Gujarat,R S,Marketing,33.8,84.4
20,5/1/2021,Gujarat,R S,Sales,47.5,90.2
21,10/18/2020,Andhra Pradesh,Agraharam,Training,84.8,42.3
22,10/20/2020,Andhra Pradesh,Agraharam,Marketing,17.8,85.6
23,7/4/2021,Andhra Pradesh,Agraharam,Training,48.1,54.8
24,4/30/2021,Gujarat,R S,Product Management,7.8,36.8
25,5/21/2021,Gujarat,R S,Business Development,82.5,69.1
26,12/22/2020,Andhra Pradesh,Agraharam,Marketing,83.2,22.7
27,12/14/2020,Andhra Pradesh,Agraharam,Marketing,52.3,81.8
28,6/23/2021,Andhra Pradesh,Agraharam,Support,90.0,63.4
29,6/15/2021,Andhra Pradesh,Agraharam,Marketing,90.9,70.7
30,11/10/2020,Andhra Pradesh,Agraharam,Product Management,34.3,56.5
31,3/31/2021,Andhra Pradesh,Agraharam,Legal,11.2,42.2
32,12/23/2020,Andhra Pradesh,Agraharam,Marketing,78.4,64.8
33,7/25/2021,Gujarat,R S,Support,25.8,95.0
34,9/17/2021,Andhra Pradesh,Agraharam,Accounting,54.1,76.9
35,10/8/2020,Gujarat,R S,Product Management,34.3,65.2
36,8/3/2021,Gujarat,R S,Accounting,1.8,68.4
37,2/1/2021,Andhra Pradesh,Agraharam,Training,77.0,50.0
38,5/17/2021,Andhra Pradesh,Agraharam,Marketing,95.7,72.8
39,12/12/2020,Andhra Pradesh,Agraharam,Support,47.2,6.1
40,12/8/2020,Andhra Pradesh,Agraharam,Human Resources,12.5,85.0
41,8/17/2021,Andhra Pradesh,Agraharam,Support,75.3,6.4
42,5/19/2021,Andhra Pradesh,Agraharam,Accounting,78.0,45.7
43,4/27/2021,Gujarat,R S,Accounting,64.5,97.7
44,4/29/2021,Andhra Pradesh,Agraharam,Sales,75.7,27.3
45,10/6/2020,Andhra Pradesh,Agraharam,Engineering,35.1,36.7
46,4/27/2021,Andhra Pradesh,Agraharam,Legal,84.3,58.6
47,10/12/2020,Andhra Pradesh,Agraharam,Research and Development,46.7,8.7
48,5/6/2021,Andhra Pradesh,Agraharam,Sales,29.2,11.6
49,12/8/2020,Andhra Pradesh,Agraharam,Sales,47.6,53.3
50,8/21/2021,Andhra Pradesh,Agraharam,Services,2.3,15.9
51,10/17/2020,Andhra Pradesh,Agraharam,Training,40.4,74.5
52,5/19/2021,Gujarat,R S,Business Development,41.8,87.9
53,8/30/2021,Andhra Pradesh,Agraharam,Services,39.7,63.3
54,10/17/2020,Gujarat,R S,Services,62.5,84.1
55,5/17/2021,Andhra Pradesh,Agraharam,Training,37.7,33.1
56,12/19/2020,Gujarat,R S,Sales,28.3,8.9
57,12/31/2020,Andhra Pradesh,Agraharam,Product Management,90.1,98.3
58,7/7/2021,Andhra Pradesh,Agraharam,Legal,84.8,8.7
59,11/19/2020,Andhra Pradesh,Agraharam,Support,10.0,31.4
60,5/24/2021,Gujarat,R S,Sales,53.3,99.6
61,11/16/2020,Gujarat,R S,Support,6.9,47.4
62,5/17/2021,Andhra Pradesh,Agraharam,Legal,27.0,4.3
63,9/26/2020,Gujarat,R S,Support,16.0,87.2
64,2/28/2021,Gujarat,R S,Services,95.0,83.7
65,10/4/2020,Gujarat,R S,Engineering,93.5,25.9
66,7/18/2021,Gujarat,R S,Support,21.8,79.7
67,5/14/2021,Gujarat,R S,Marketing,98.3,91.3
68,10/5/2020,Andhra Pradesh,Agraharam,Product Management,80.5,51.3
69,3/20/2021,Andhra Pradesh,Agraharam,Training,29.0,40.2
70,4/24/2021,Andhra Pradesh,Agraharam,Legal,20.7,73.8
71,11/4/2020,Andhra Pradesh,Agraharam,Human Resources,10.7,24.0
72,7/8/2021,Andhra Pradesh,Agraharam,Business Development,5.8,92.9
73,6/18/2021,Andhra Pradesh,Agraharam,Engineering,94.9,69.9
74,10/29/2020,Andhra Pradesh,Agraharam,Services,98.5,6.3
75,5/28/2021,Gujarat,R S,Services,91.2,38.6
76,10/20/2020,Andhra Pradesh,Agraharam,Support,6.3,69.2
77,2/24/2021,Gujarat,R S,Engineering,47.3,37.3
78,8/30/2021,Andhra Pradesh,Agraharam,Services,19.8,15.2
79,6/24/2021,Andhra Pradesh,Agraharam,Marketing,95.9,17.7
80,9/28/2020,Andhra Pradesh,Agraharam,Business Development,31.0,7.9
81,12/19/2020,Gujarat,R S,Accounting,70.0,45.2
82,11/19/2020,Gujarat,R S,Training,3.8,76.3
83,5/2/2021,Gujarat,R S,Support,5.6,75.4
84,9/15/2021,Andhra Pradesh,Agraharam,Services,71.6,86.7
