STN_CODE,Sampling_date,State,Location,Type,SO2,NO2
1,6/9/2021,Gujarat,SURAT,Product Management,52.3,6.2
2,9/8/2021,Gujarat,SURAT,Sales,20.4,52.2
3,9/26/2020,Gujarat,SURAT,Business Development,67.0,62.1
4,2/10/2021,Andhra Pradesh,Hyderabad,Marketing,30.2,86.1
5,2/28/2021,Gujarat,SURAT,Engineering,54.1,65.1
6,3/16/2021,Gujarat,SURAT,Legal,26.3,19.4
7,7/30/2021,Gujarat,SURAT,Engineering,90.5,43.0
8,8/21/2021,Gujarat,SURAT,Support,87.7,17.7
9,6/14/2021,Andhra Pradesh,Hyderabad,Services,43.4,47.7
10,8/31/2021,Gujarat,SURAT,Support,49.4,47.2
11,9/19/2021,Gujarat,SURAT,Legal,8.9,19.5
12,6/9/2021,Gujarat,SURAT,Training,64.5,74.3
13,5/31/2021,Andhra Pradesh,Hyderabad,Business Development,75.5,26.7
14,7/21/2021,Gujarat,SURAT,Business Development,98.8,52.2
15,6/28/2021,Gujarat,SURAT,Marketing,1.1,52.3
16,8/20/2021,Gujarat,SURAT,Accounting,94.6,14.0
17,6/15/2021,Gujarat,SURAT,Services,38.1,50.5
18,4/26/2021,Andhra Pradesh,Hyderabad,Services,65.4,51.2
19,6/7/2021,Gujarat,SURAT,Marketing,33.8,84.4
20,5/1/2021,Gujarat,SURAT,Sales,47.5,90.2
21,10/18/2020,Andhra Pradesh,Hyderabad,Training,84.8,42.3
22,10/20/2020,Andhra Pradesh,Hyderabad,Marketing,17.8,85.6
23,7/4/2021,Andhra Pradesh,Hyderabad,Training,48.1,54.8
24,4/30/2021,Gujarat,SURAT,Product Management,7.8,36.8
25,5/21/2021,Gujarat,SURAT,Business Development,82.5,69.1
26,12/22/2020,Andhra Pradesh,Hyderabad,Marketing,83.2,22.7
27,12/14/2020,Andhra Pradesh,Hyderabad,Marketing,52.3,81.8
28,6/23/2021,Andhra Pradesh,Hyderabad,Support,90.0,63.4
29,6/15/2021,Andhra Pradesh,Hyderabad,Marketing,90.9,70.7
30,11/10/2020,Andhra Pradesh,Hyderabad,Product Management,34.3,56.5
31,3/31/2021,Andhra Pradesh,Hyderabad,Legal,11.2,42.2
32,12/23/2020,Andhra Pradesh,Hyderabad,Marketing,78.4,64.8
33,7/25/2021,Gujarat,SURAT,Support,25.8,95.0
34,9/17/2021,Andhra Pradesh,Hyderabad,Accounting,54.1,76.9
35,10/8/2020,Gujarat,SURAT,Product Management,34.3,65.2
36,8/3/2021,Gujarat,SURAT,Accounting,1.8,68.4
37,2/1/2021,Andhra Pradesh,Hyderabad,Training,77.0,50.0
38,5/17/2021,Andhra Pradesh,Hyderabad,Marketing,95.7,72.8
39,12/12/2020,Andhra Pradesh,Hyderabad,Support,47.2,6.1
40,12/8/2020,Andhra Pradesh,Hyderabad,Human Resources,12.5,85.0
41,8/17/2021,Andhra Pradesh,Hyderabad,Support,75.3,6.4
42,5/19/2021,Andhra Pradesh,Hyderabad,Accounting,78.0,45.7
43,4/27/2021,Gujarat,SURAT,Accounting,64.5,97.7
44,4/29/2021,Andhra Pradesh,Hyderabad,Sales,75.7,27.3
45,10/6/2020,Andhra Pradesh,Hyderabad,Engineering,35.1,36.7
46,4/27/2021,Andhra Pradesh,Hyderabad,Legal,84.3,58.6
47,10/12/2020,Andhra Pradesh,Hyderabad,Research and Development,46.7,8.7
48,5/6/2021,Andhra Pradesh,Hyderabad,Sales,29.2,11.6
49,12/8/2020,Andhra Pradesh,Hyderabad,Sales,47.6,53.3
50,8/21/2021,Andhra Pradesh,Hyderabad,Services,2.3,15.9
51,10/17/2020,Andhra Pradesh,Hyderabad,Training,40.4,74.5
52,5/19/2021,Gujarat,SURAT,Business Development,41.8,87.9
53,8/30/2021,Andhra Pradesh,Hyderabad,Services,39.7,63.3
54,10/17/2020,Gujarat,SURAT,Services,62.5,84.1
55,5/17/2021,Andhra Pradesh,Hyderabad,Training,37.7,33.1
56,12/19/2020,Gujarat,SURAT,Sales,28.3,8.9
57,12/31/2020,Andhra Pradesh,Hyderabad,Product Management,90.1,98.3
58,7/7/2021,Andhra Pradesh,Hyderabad,Legal,84.8,8.7
59,11/19/2020,Andhra Pradesh,Hyderabad,Support,10.0,31.4
60,5/24/2021,Gujarat,SURAT,Sales,53.3,99.6
61,11/16/2020,Gujarat,SURAT,Support,6.9,47.4
62,5/17/2021,Andhra Pradesh,Hyderabad,Legal,27.0,4.3
63,9/26/2020,Gujarat,SURAT,Support,16.0,87.2
64,2/28/2021,Gujarat,SURAT,Services,95.0,83.7
65,10/4/2020,Gujarat,SURAT,Engineering,93.5,25.9
66,7/18/2021,Gujarat,SURAT,Support,21.8,79.7
67,5/14/2021,Gujarat,SURAT,Marketing,98.3,91.3
68,10/5/2020,Andhra Pradesh,Hyderabad,Product Management,80.5,51.3
69,3/20/2021,Andhra Pradesh,Hyderabad,Training,29.0,40.2
70,4/24/2021,Andhra Pradesh,Hyderabad,Legal,20.7,73.8
71,11/4/2020,Andhra Pradesh,Hyderabad,Human Resources,10.7,24.0
72,7/8/2021,Andhra Pradesh,Hyderabad,Business Development,5.8,92.9
73,6/18/2021,Andhra Pradesh,Hyderabad,Engineering,94.9,69.9
74,10/29/2020,Andhra Pradesh,Hyderabad,Services,98.5,6.3
75,5/28/2021,Gujarat,SURAT,Services,91.2,38.6
76,10/20/2020,Andhra Pradesh,Hyderabad,Support,6.3,69.2
77,2/24/2021,Gujarat,SURAT,Engineering,47.3,37.3
78,8/30/2021,Andhra Pradesh,Hyderabad,Services,19.8,15.2
79,6/24/2021,Andhra Pradesh,Hyderabad,Marketing,95.9,17.7
80,9/28/2020,Andhra Pradesh,Hyderabad,Business Development,31.0,7.9
81,12/19/2020,Gujarat,SURAT,Accounting,70.0,45.2
82,11/19/2020,Gujarat,SURAT,Training,3.8,76.3
83,5/2/2021,Gujarat,SURAT,Support,5.6,75.4
84,9/15/2021,Andhra Pradesh,Hyderabad,Services,71.6,86.7
85,10/5/2020,Gujarat,SURAT,Product Management,28.8,34.6
86,8/24/2021,Gujarat,SURAT,Business Development,63.4,49.6
87,4/21/2021,Gujarat,SURAT,Marketing,49.2,26.5
88,11/4/2020,Andhra Pradesh,Hyderabad,Business Development,43.4,37.7
89,2/21/2021,Gujarat,SURAT,Services,35.6,75.6
90,10/10/2020,Andhra Pradesh,Hyderabad,Sales,62.6,77.4
91,9/12/2021,Andhra Pradesh,Hyderabad,Business Development,23.0,16.8
92,6/23/2021,Gujarat,SURAT,Legal,79.5,29.6
93,8/25/2021,Gujarat,SURAT,Accounting,75.9,80.7
94,10/9/2020,Andhra Pradesh,Hyderabad,Services,10.5,10.8
95,1/23/2021,Andhra Pradesh,Hyderabad,Legal,95.8,40.5
96,7/24/2021,Andhra Pradesh,Hyderabad,Research and Development,90.1,24.0
97,2/1/2021,Gujarat,SURAT,Human Resources,71.9,48.8
98,4/28/2021,Andhra Pradesh,Hyderabad,Legal,39.4,97.6
99,6/23/2021,Gujarat,SURAT,Marketing,80.7,25.8
100,6/19/2021,Andhra Pradesh,Hyderabad,Engineering,33.9,67.8
101,1/3/2021,Andhra Pradesh,Hyderabad,Engineering,64.3,53.0
102,6/27/2021,Andhra Pradesh,Hyderabad,Product Management,95.2,62.9
103,4/2/2021,Gujarat,SURAT,Marketing,61.0,75.9
104,4/27/2021,Gujarat,SURAT,Training,64.9,93.6
105,8/25/2021,Gujarat,SURAT,Legal,10.5,80.5
106,10/26/2020,Andhra Pradesh,Hyderabad,Training,74.7,54.8
107,11/13/2020,Gujarat,SURAT,Training,91.0,85.8
108,6/25/2021,Andhra Pradesh,Hyderabad,Research and Development,68.6,6.6
109,2/19/2021,Andhra Pradesh,Hyderabad,Training,79.9,70.2
110,8/17/2021,Gujarat,SURAT,Training,70.3,29.4
111,7/7/2021,Gujarat,SURAT,Business Development,52.9,1.2
112,10/21/2020,Andhra Pradesh,Hyderabad,Support,90.6,78.2
113,5/26/2021,Gujarat,SURAT,Human Resources,67.2,17.0
114,12/24/2020,Gujarat,SURAT,Marketing,21.5,58.0
115,8/3/2021,Gujarat,SURAT,Services,67.0,20.7
116,12/15/2020,Gujarat,SURAT,Human Resources,84.6,16.9
117,7/17/2021,Andhra Pradesh,Hyderabad,Services,88.4,49.0
118,12/21/2020,Andhra Pradesh,Hyderabad,Legal,34.3,21.7
119,3/8/2021,Andhra Pradesh,Hyderabad,Research and Development,49.2,87.4
120,3/14/2021,Andhra Pradesh,Hyderabad,Marketing,20.7,13.7
121,7/15/2021,Andhra Pradesh,Hyderabad,Support,31.2,39.3
122,9/3/2021,Gujarat,SURAT,Engineering,64.1,11.9
123,9/18/2021,Andhra Pradesh,Hyderabad,Legal,94.3,14.0
124,11/4/2020,Andhra Pradesh,Hyderabad,Engineering,19.7,2.6
125,11/24/2020,Gujarat,SURAT,Product Management,10.1,27.5
126,3/16/2021,Gujarat,SURAT,Business Development,59.5,24.5
127,10/6/2020,Gujarat,SURAT,Support,68.9,48.0
128,3/24/2021,Andhra Pradesh,Hyderabad,Business Development,92.3,99.1
129,8/25/2021,Andhra Pradesh,Hyderabad,Marketing,83.7,20.5
130,1/22/2021,Andhra Pradesh,Hyderabad,Services,55.3,87.9
131,8/15/2021,Gujarat,SURAT,Engineering,68.0,40.5
132,6/30/2021,Gujarat,SURAT,Engineering,30.4,78.1
133,6/29/2021,Gujarat,SURAT,Training,36.1,88.2
134,8/18/2021,Andhra Pradesh,Hyderabad,Support,6.3,13.2
135,4/7/2021,Gujarat,SURAT,Human Resources,71.2,65.5
136,1/26/2021,Andhra Pradesh,Hyderabad,Training,35.9,12.3
137,4/19/2021,Andhra Pradesh,Hyderabad,Marketing,38.0,85.7
138,10/15/2020,Andhra Pradesh,Hyderabad,Support,31.7,23.9
139,8/24/2021,Andhra Pradesh,Hyderabad,Engineering,84.8,25.4
140,2/26/2021,Gujarat,SURAT,Legal,32.1,60.3
141,7/22/2021,Andhra Pradesh,Hyderabad,Research and Development,63.8,25.5
